갈래	자리	전	후
동전	c07 BiiiG	15 이상 칸 명중 시 점수 +16	15 이상 칸 맞히면 점수 +16
동전	c08 천동설	불 명중 시 점수 +20 · 배수 +2	불 맞히면 점수 +20 · 배수 +2
동전	c09 양	크림 칸 명중 시 배수 +3	크림 칸 맞히면 배수 +3
동전	c10 음	먹 칸 명중 시 배수 +3	먹 칸 맞히면 배수 +3
동전	c11 가장자리	더블 명중 시 배수 +4	더블 맞히면 배수 +4
동전	c12 쌍둥이	짝수 칸 명중 시 점수 +14	짝수 칸 맞히면 점수 +14
동전	c13 외동	홀수 칸 명중 시 점수 +13	홀수 칸 맞히면 점수 +13
동전	c15 HOPE	판 마지막 다트에 배수 +18	판 마지막 다트면 배수 +18
동전	c16 좌익수	왼쪽 절반 명중 시 배수 +2	왼쪽 절반 맞히면 배수 +2
동전	c17 우익수	오른쪽 절반 명중 시 배수 +3	오른쪽 절반 맞히면 배수 +3
동전	c29 황금우상	더블·트리플·불 명중 시 1/2 확률로 골드 +2	더블·트리플·불 맞히면 1/2 확률로 골드 +2
동전	c35 quite my tempo	배수 +0에서 시작 · 명중마다 +1 · 빗나가면 −1	배수 +0에서 시작 · 맞히면 +1 · 빗나가면 −1
동전	c36 연속사진	맞힌 영역의 이번 런 명중 1회당 배수 +1	이번 런에 그 영역을 맞힌 1발당 배수 +1
동전	c38 베르툼누스	보유 동전 1장당 배수 +2	동전 1장당 배수 +2
동전	c39 2300	더블·트리플·불 명중 시 점수 +23	더블·트리플·불 맞히면 점수 +23
동전	c40 0023	더블·트리플·불 명중 시 배수 +3	더블·트리플·불 맞히면 배수 +3
동전	c41 첫 만남	판 첫 더블·트리플·불 명중 시 배수 ×2	판 첫 더블·트리플·불 맞히면 배수 ×2
동전	c42 무전기	4·10번 명중 시 점수 +10 · 배수 +4	4·10번 맞히면 점수 +10 · 배수 +4
동전	c43 감자 먹는 사람들	5 이하 칸 명중 시 배수 +2	5 이하 칸 맞히면 배수 +2
동전	c43 감자 먹는 사람들	판을 넘길 때 보유 골드 6 이하면 골드 +4	판을 넘길 때 골드 6 이하면 골드 +4
동전	c44 어린 왕자	5 이하 칸 명중 시 배수 +5	5 이하 칸 맞히면 배수 +5
동전	c45 삼미신	이번 판에 다른 숫자 3개를 맞힌 발부터 점수 +15에서 시작 · 발동마다 +15	이번 판에 다른 숫자 3개를 맞힌 발부터 점수 +15에서 시작 · 켜질 때마다 +15
동전	c48 더 굿 더 베드 더 트리플	트리플 명중 시 배수 +3	트리플 맞히면 배수 +3
동전	u18 머니건	보유 골드 1당 점수 +2	골드 1당 점수 +2
동전	u20 그 탑을 잡아라	더블·트리플 명중 시 점수 +20	더블·트리플 맞히면 점수 +20
동전	u21 스포트라이트	불 명중 시 배수 +8	불 맞히면 배수 +8
동전	u22 WHITE ALBUM	크림 칸 명중 시 골드 +1	크림 칸 맞히면 골드 +1
동전	u23 심장의 색깔은	먹 칸 명중 시 점수 +8 · 배수 +8	먹 칸 맞히면 점수 +8 · 배수 +8
동전	u25 퍼스트블러드	판 첫 다트에 점수 +44	판 첫 다트면 점수 +44
동전	u26 SAFETY LAST!	판 마지막 다트에 배수 ×3	판 마지막 다트면 배수 ×3
동전	u28 피보나치	1·2·3·5·8·13번 명중 시 배수 +8	1·2·3·5·8·13번 맞히면 배수 +8
동전	r13 88날어	8번 명중 시 점수 +8에서 시작 · 발동마다 +8	8번 맞히면 점수 +8에서 시작 · 켜질 때마다 +8
동전	l04 잭과 콩나무	명중마다 다트가 커진다 · 커진 만큼 양옆 칸 값을 점수에 더한다	맞히면 다트가 커진다 · 커진 만큼 양옆 칸 값을 점수에 더한다
배움	u_leg 1	판을 고르면 그 판의 목표 점수가 정해집니다	판을 고르면 그 판의 목표 점수가 정해진다
배움	u_leg 2	목표를 넘기면 통과, 못 넘기면 런이 끝납니다	목표를 넘기면 통과 · 못 넘기면 런이 끝난다
배움	u_skip 1	건너뛰면 판 대신 보상을 받습니다	건너뛰면 판 대신 보상을 받는다
배움	u_boss 1	보스 판에 걸릴 제약입니다	보스 판에 걸릴 제약이다
배움	u_boss 2	그 판이 끝날 때까지 걸립니다	그 판이 끝날 때까지 걸린다
배움	u_score 1	꽂힌 칸의 값이 점수가 됩니다	꽂힌 칸의 값이 점수가 된다
배움	u_score 2	동전이 그 점수와 배수를 올립니다	동전이 그 점수와 배수를 올린다
배움	u_score 3	점수 곱하기 배수가 이 판의 몫입니다	점수 곱하기 배수가 이 판의 몫이다
배움	u_clear 1	목표를 넘겼습니다. 남은 다트가 골드가 됩니다	목표를 넘겼다 · 남은 다트가 골드가 된다
배움	u_shop 1	판이 끝나면 상인이 물건을 깝니다	판이 끝나면 상인이 물건을 깐다
배움	u_shop 2	오른쪽 창구로 끌어 넣으면 삽니다	오른쪽 창구로 끌어 넣으면 산다
배움	u_shop 3	값은 물건 밑에 적혀 있습니다	값은 물건 밑에 있다
배움	u_sell 1	왼쪽 창구로 끌어 넣으면 팝니다	왼쪽 창구로 끌어 넣으면 판다
배움	u_rack 1	산 동전은 이 슬롯에 섭니다	산 동전은 이 슬롯에 선다
배움	u_rack 2	왼쪽부터 차례로 발동합니다. 순서가 값을 바꿉니다	왼쪽부터 차례로 켜진다 · 순서가 값을 바꾼다
배움	u_give 1	카운터 위로 올리면 상인이 받아 봅니다	카운터 위로 올리면 상인이 받아 본다
배움	u_reroll 1	리롤은 매물을 새로 깝니다	리롤은 매물을 새로 깐다
배움	u_cons 1	사탕은 화면 가운데로 끌면 씁니다	사탕은 화면 가운데로 끌면 쓴다
배움	u_pack 1	팩은 쏟아진 것 중 몫만큼 고릅니다	팩은 쏟아진 것 중 몫만큼 고른다
뱃지	t_track 이름	영역 승급	영역 강화
뱃지	t_hot 이름	주력 승급	주력 강화
챌린지	solo 홑장	동전을 한 장만 들 수 있다 · 그 동전 효과 3배	동전을 한 장만 든다 · 그 동전 효과 3배
챌린지	stack 겹치기	판마다 제약이 둘 걸린다 · 판 클리어 보상 2배	판마다 제약이 둘 걸린다 · 판을 넘긴 보상 2배
소모품	v_cash 오리 금고	보유 골드 2배 (최대 +20)	골드 2배 (최대 +20)
소모품	v_pick 금고 속 수영	보유 동전의 판매가 합만큼 골드를 받는다	동전 판매가 합만큼 골드를 받는다
소모품	data.gd:581 사용조건 태그 (v_redo · v_pnt · c_again)	판 플레이 중	판에서
화면	data.gd:169 판 위 안내줄 std 1	다트판을 눌러 높이 결정	높이 잡기
화면	data.gd:169 판 위 안내줄 std 2	다트판을 눌러 좌우 결정	좌우 잡기
